"Techskills","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Firewall, IDS/IPS, Encryption, SIEMhttps://example.com/cyber-security-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Python, Pandas, SQL, Tableauhttps://example.com/data-analysis-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"TCP/IP, Cisco IOS, SDN, Wiresharkhttps://example.com/networking-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Apache Airflow, Spark, Kafka, ETLhttps://example.com/data-engineering-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"MySQL, PostgreSQL, Oracle, DBA Toolshttps://example.com/database-administration-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"




